player2,n_passes,goals_scored_from_passes,xGoals_from_passes,difference,xGoals_per_pass
daniel caligiuri,107,8.0,10.358501095199875,2.3585010951998764,0.09680842145046613
bafetimbi gomis,106,7.0,10.26095932183119,3.2609593218311925,0.09680150303614331
ever banega,147,8.0,14.121578149087746,6.121578149087748,0.09606515747678739
lars stindl,164,11.0,15.735183906955829,4.735183906955821,0.09594624333509652
adem ljajic,182,21.0,17.388187619653912,-3.611812380346084,0.09553949241568084
andrea pirlo,189,15.0,18.050302218831042,3.050302218831047,0.09550424454407959
jonathan pitroipa,105,13.0,10.018717567495992,-2.9812824325040115,0.09541635778567611
arturo vidal,216,21.0,20.580770990261833,-0.41922900973816785,0.09528134717713811
tobias werner,103,10.0,9.797861121617967,-0.2021388783820348,0.09512486525842687
jonathan schmid,112,6.0,10.649337833564585,4.649337833564584,0.09508337351396952
marko arnautovic,141,14.0,13.393611395965621,-0.6063886040343855,0.09499015174443703
benat,114,9.0,10.814835010927343,1.8148350109273474,0.09486697378006441
alessandro matri,106,8.0,10.031800554881006,2.031800554881004,0.09463962787623591
raffael,217,25.0,20.497468061797374,-4.502531938202629,0.09445837816496486
renaud cohade,107,6.0,10.091537873321439,4.091537873321435,0.09431343806842467
claudio pizarro,101,20.0,9.51854595244691,-10.481454047553092,0.09424302923214763
franco brienza,137,12.0,12.899460838557037,0.8994608385570395,0.09415664845662071
maximiliano moralez,141,9.0,13.223775766508794,4.2237757665087905,0.09378564373410492
hakan calhanoglu,131,10.0,12.240605015910106,2.2406050159101,0.09343973294587866
moussa sissoko,185,15.0,17.219888915279032,2.21988891527903,0.0930804806231299
remy cabella,187,14.0,17.403408096229974,3.4034080962299655,0.09306635345577526
daniel wass,134,9.0,12.459159356091488,3.459159356091496,0.09297880116486186
luka modric,138,10.0,12.811393015487115,2.811393015487109,0.09283618127164575
alberto gilardino,107,10.0,9.905639711420333,-0.09436028857967338,0.09257607206934891
rodrigo palacio,178,14.0,16.439334904395423,2.439334904395413,0.09235581406963721
allan,146,14.0,13.463222685966288,-0.5367773140337149,0.09221385401346772
yann jouffre,140,14.0,12.888105476171729,-1.111894523828272,0.09205789625836949
andre ayew,110,9.0,10.124384623127606,1.1243846231276118,0.09203986021025096
franco vazquez,110,10.0,10.123532814368776,0.1235328143687725,0.0920321164942616
kevin monnetpaquet,122,7.0,11.116014055358427,4.116014055358421,0.09111486930621661
joaquin,162,10.0,14.750962387262746,4.750962387262735,0.0910553233781651
samir nasri,108,13.0,9.831513103267332,-3.1684868967326665,0.09103252873395677
iker muniain,115,7.0,10.456268219693403,3.456268219693411,0.09092407147559481
younes belhanda,120,9.0,10.86556023304746,1.8655602330474668,0.0905463352753955
julien feret,247,23.0,22.34422964639851,-0.6557703536014807,0.09046246820404255
romelu lukaku,130,16.0,11.759560578185736,-4.240439421814267,0.09045815829373643
alejandro gomez,137,5.0,12.352582402786604,7.352582402786599,0.09016483505683652
stevan jovetic,133,13.0,11.982869564749347,-1.0171304352506552,0.09009676364473193
blerim dzemaili,130,10.0,11.664575166280418,1.6645751662804176,0.08972750127908014
xabi prieto,152,6.0,13.635633697322334,7.635633697322326,0.0897081164297522
riccardo saponara,109,13.0,9.76271004128646,-3.2372899587135398,0.08956614716776569
jordan henderson,122,18.0,10.913223327952712,-7.086776672047292,0.08945265022912059
juan guillermo cuadrado,153,14.0,13.683200544732237,-0.31679945526776554,0.08943268329890351
mateo kovacic,128,10.0,11.41074057708201,1.4107405770820134,0.0891464107584532
oscar trejo,116,6.0,10.310458751409394,4.310458751409386,0.08888326509835684
roberto pereyra,150,9.0,13.260349270570126,4.260349270570114,0.0884023284704675
nicolas mauricebelay,144,10.0,12.668642353727412,2.6686423537274035,0.08797668301199592
raheem sterling,169,17.0,14.861950578119242,-2.1380494218807717,0.08794053596520261
benjamin andre,113,9.0,9.902862347149503,0.9028623471495123,0.08763594997477436
sebastian rudy,107,12.0,9.343584716147749,-2.6564152838522506,0.08732322164624065
diego perotti,102,12.0,8.839593131284907,-3.1604068687150946,0.08666267775769516
diego,149,9.0,12.860203685886828,3.860203685886835,0.08631009185158946
hernanes,139,6.0,11.918728010055528,5.918728010055534,0.08574624467665848
etienne didot,139,10.0,11.899853869605103,1.899853869605097,0.08561045949356189
borja valero,264,19.0,22.547916834175886,3.5479168341758918,0.08540877588702987
juanfran,160,18.0,13.62018085399877,-4.379819146001219,0.0851261303374923
willian,151,8.0,12.852620851235542,4.852620851235537,0.08511669437904333
miralem pjanic,283,30.0,24.03486556091517,-5.965134439084839,0.0849288535721384
luca cigarini,164,6.0,13.92428038766685,7.924280387666851,0.08490414870528566
klaasjan huntelaar,103,15.0,8.736479485752955,-6.263520514247044,0.08482018918206753
joao moutinho,105,13.0,8.886244286131555,-4.1137557138684455,0.08463089796315768
josip ilicic,175,13.0,14.754998152098347,1.7549981520983469,0.0843142751548477
ryad boudebouz,211,13.0,17.721406236097543,4.721406236097524,0.08398770728008315
cyril thereau,146,9.0,12.253991953168057,3.253991953168051,0.08393145173402779
rafinha,128,11.0,10.740915997117382,-0.25908400288261624,0.08391340622747955
mathieu valbuena,212,17.0,17.771225685536297,0.7712256855362891,0.0838265362525297
fernando llorente,122,9.0,10.214033084151707,1.2140330841516978,0.08372158265698121
fernandinho,102,7.0,8.515823321726616,1.5158233217266164,0.08348846393849624
christian gentner,110,7.0,9.15062563798621,2.150625637986208,0.08318750579987463
maximilian arnold,104,6.0,8.65124107172082,2.651241071720824,0.08318501030500788
alessandro diamanti,118,8.0,9.814391325456782,1.8143913254567827,0.08317280784285408
marcelo,149,12.0,12.133790645048718,0.13379064504872373,0.08143483654395113
marvin martin,110,9.0,8.933652579008657,-0.06634742099133828,0.08121502344553325
ross barkley,122,12.0,9.892155229345521,-2.1078447706544776,0.08108323958479935
esteban cambiasso,113,6.0,9.123995710554151,3.123995710554151,0.08074332487216063
diego castro,109,9.0,8.75397828091046,-0.24602171908953724,0.08031172734780238
walid mesloub,108,7.0,8.600079966261228,1.6000799662612248,0.07963037005797434
philipp lahm,146,12.0,11.588253278301321,-0.4117467216986823,0.0793715977965844
senad lulic,157,17.0,12.428579603999077,-4.571420396000922,0.07916292741400686
roberto soriano,130,10.0,10.271788824209995,0.2717888242099964,0.07901376018623073
marco parolo,154,11.0,12.006456759602077,1.0064567596020777,0.07796400493248103
yohan mollo,102,8.0,7.952187163063632,-0.04781283693636387,0.07796261924572188
benjamin nivet,101,4.0,7.872478301369552,3.8724783013695547,0.07794532971653022
mark noble,123,6.0,9.511538746966243,3.511538746966245,0.07732958330866864
edgar barreto,127,8.0,9.748549527386121,1.7485495273861194,0.07676023249910331
radja nainggolan,175,10.0,13.319953177403718,3.319953177403718,0.07611401815659267
jason puncheon,105,5.0,7.955785632547946,2.9557856325479497,0.0757693869766471
max meyer,116,10.0,8.674553314097272,-1.3254466859027256,0.07478063201807993
andrea bertolacci,123,10.0,8.928491646883892,-1.0715083531161118,0.07258936298279586
christian eriksen,233,17.0,16.90155122360717,-0.09844877639283722,0.07253884645324966
faouzi ghoulam,101,9.0,7.227342144767364,-1.7726578552326329,0.07155784301749865
roberto trashorras,227,14.0,16.165398258099035,2.1653982580990347,0.0712132081854583
daniel parejo,147,10.0,10.437900724121757,0.43790072412175957,0.07100612737497794
claudio marchisio,153,13.0,10.506939215671917,-2.493060784328082,0.068672805331189
kwadwo asamoah,107,11.0,7.239417204850703,-3.7605827951492996,0.06765810471823087
andrea cossu,114,3.0,7.712306124945619,4.71230612494562,0.06765180811355806
francesco lodi,124,8.0,8.332816263093449,0.33281626309345036,0.06720013115397942
milan badelj,115,11.0,7.684068456121045,-3.315931543878949,0.06681798657496561
riccardo montolivo,124,6.0,8.202580895261663,2.202580895261667,0.06614984592952954
mounir obbadi,116,6.0,7.669646935496546,1.6696469354965477,0.06611764599565988
thomas mangani,103,6.0,6.794506899511414,0.7945068995114176,0.06596608640302344
fabien lemoine,126,11.0,8.309899891507039,-2.690100108492961,0.06595158644053205
xabi alonso,146,11.0,9.463511823116058,-1.5364881768839478,0.0648185741309319
florent balmont,128,7.0,8.265104863163453,1.26510486316346,0.06457113174346447
daniel baier,185,10.0,11.809843731751045,1.8098437317510405,0.06383699314460024
jaroslav plasil,161,7.0,9.97196684764111,2.9719668476411103,0.06193768228348515
lucas biglia,101,4.0,6.070351993205546,2.07035199320555,0.06010249498223313
david pizarro,111,5.0,6.242351594279848,1.2423515942798484,0.0562374017502689
idrissa gueye,101,4.0,5.499305275846867,1.4993052758468675,0.05444856708759274
