short_name,player_positions,overall,potential,wage_eur,age,club_contract_valid_until,nationality_name,preferred_foot,weak_foot,skill_moves,release_clause_eur,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,value_eur
Bernardo Silva,"CAM, CM, RW",86,87,200000,26,2025,Portugal,Left,3,4,154000000,80,76,83,91,54,67,85,77,51,86,70,92,84,67,76,90,83,77,94,84,92,76,51,93,54,76,70,54,83,84,68,87,49,63,45,9,10,14,12,9,0,80000000
Marcos Llorente,"CM, RM, ST",86,89,95000,26,2027,Spain,Right,4,3,187000000,88,80,81,82,78,82,74,81,67,86,64,82,73,58,83,84,86,90,82,86,69,84,69,90,79,79,83,82,87,86,64,83,79,80,74,13,6,6,11,15,0,88000000
Rodri,CDM,86,89,175000,25,2024,Spain,Right,4,3,155900000,61,70,77,78,82,82,63,64,78,85,59,78,65,54,83,82,60,62,65,80,65,83,72,87,82,76,76,83,75,81,46,83,83,84,78,10,10,7,14,8,0,81000000
M. Škriniar,CB,86,88,150000,26,2023,Slovakia,Right,3,2,131400000,80,41,53,69,87,84,40,42,81,72,40,67,34,30,49,72,76,84,54,86,56,50,84,79,86,30,84,86,30,46,56,87,90,88,82,10,13,12,8,12,0,74000000
A. Gómez,"CAM, CF, CM",85,85,51000,33,2024,Argentina,Right,4,4,70400000,87,78,84,87,39,55,83,77,38,85,72,85,85,79,80,86,91,83,93,86,93,79,70,75,44,82,56,40,80,86,72,85,50,30,34,8,11,12,9,6,0,33500000
K. Schmeichel,GK,85,85,115000,34,2023,Denmark,Right,3,1,17100000,50,50,50,50,50,50,18,12,16,44,15,12,13,15,46,40,45,51,61,82,47,60,60,34,64,14,35,20,13,59,26,67,14,14,13,84,78,80,83,90,47,9000000
Thiago Silva,CB,85,85,105000,36,2022,Brazil,Right,3,2,17600000,53,54,72,72,86,78,60,40,81,80,61,67,62,61,80,79,52,54,67,82,66,71,88,68,82,65,76,88,59,71,60,86,87,86,84,9,12,5,9,10,0,9500000
David Silva,"CAM, CM",85,85,44000,35,2022,Spain,Left,2,4,46200000,63,74,87,87,52,53,83,72,53,90,82,86,82,77,83,90,70,57,84,85,89,72,61,66,45,73,56,50,86,90,75,91,58,53,29,6,15,7,6,12,0,22000000
Y. Sommer,GK,85,85,40000,32,2023,Switzerland,Right,4,1,45100000,50,50,50,50,50,50,13,13,10,40,8,15,12,13,31,25,48,54,55,82,58,63,73,45,68,12,38,21,15,64,24,57,9,19,12,79,81,84,86,86,50,26500000
E. Cavani,ST,85,85,190000,34,2022,Uruguay,Right,4,3,48100000,66,86,70,76,51,79,68,89,88,75,86,74,76,74,52,81,64,68,68,90,57,87,88,81,77,77,81,54,93,75,85,85,45,48,39,12,5,13,13,10,0,26000000
E. Hazard,LW,85,85,240000,30,2024,Belgium,Right,4,4,106600000,84,80,82,88,35,63,77,78,61,85,82,89,83,79,81,88,86,82,87,79,89,82,55,77,61,77,54,41,83,84,87,89,34,27,22,11,12,6,8,8,0,52000000
L. Bonucci,CB,85,85,110000,34,2024,Italy,Right,4,2,28900000,64,58,69,72,86,80,44,48,83,81,58,69,56,60,81,79,60,68,59,82,53,74,90,65,86,65,82,86,38,71,70,86,88,85,81,2,2,3,2,4,0,17500000
P. Gulácsi,GK,85,85,87000,31,2025,Hungary,Right,2,1,48500000,50,50,50,50,50,50,16,10,23,35,10,19,18,11,31,25,42,44,41,81,42,57,67,35,74,12,34,23,11,44,24,45,25,16,20,85,84,76,82,86,43,28500000
İ. Gündoğan,"CM, CDM",85,85,185000,30,2023,Germany,Right,4,4,95300000,65,80,85,86,73,72,78,80,50,88,75,86,86,80,85,89,66,65,77,86,77,79,61,74,73,81,70,78,82,86,80,87,76,75,67,11,14,5,5,13,0,51500000
M. Reus,"CAM, CF",85,85,95000,32,2023,Germany,Right,4,4,73100000,73,84,84,85,47,63,85,84,44,85,85,85,88,85,79,86,76,71,83,86,82,86,68,67,66,83,51,49,85,86,76,85,52,38,54,12,12,13,13,11,0,43000000
K. Walker,RB,85,85,170000,31,2024,England,Right,2,3,72200000,92,63,76,78,80,82,77,51,74,79,57,79,76,71,77,81,89,94,66,85,69,86,83,86,80,69,84,80,68,69,63,75,77,84,83,12,6,16,15,8,0,39000000
P. Aubameyang,"ST, LW, LM",85,85,145000,32,2023,Gabon,Right,4,4,82700000,89,85,75,80,35,69,76,89,73,77,83,79,81,76,64,81,87,91,77,86,67,82,75,79,74,78,43,48,90,77,83,87,20,29,36,6,9,15,9,9,0,43500000
Koke,"CM, CDM",85,85,90000,29,2024,Spain,Right,4,3,107600000,70,75,85,81,79,80,85,72,61,86,56,80,85,76,84,83,72,69,73,88,82,83,59,93,75,80,79,83,83,86,67,86,82,81,70,14,12,5,10,13,0,52500000
A. Griezmann,"ST, LW, RW",85,85,220000,30,2022,France,Left,3,4,0,80,84,84,87,52,72,83,84,83,84,86,85,86,85,82,89,80,80,92,89,83,82,90,86,63,83,73,49,89,85,79,90,43,54,49,14,8,14,13,14,0,53000000
S. de Vrij,CB,85,85,145000,29,2023,Netherlands,Right,3,2,76500000,72,41,64,70,87,79,49,25,84,75,27,66,45,16,71,75,69,74,61,85,59,65,79,80,79,60,77,87,31,70,41,85,89,87,85,8,10,7,14,13,0,45000000
Roberto Firmino,CF,85,85,185000,29,2023,Brazil,Right,4,5,99900000,77,78,79,89,59,78,73,78,78,84,83,89,81,65,76,90,77,77,85,86,86,79,81,87,74,76,75,58,82,83,72,88,55,64,42,8,11,9,6,10,0,54000000
M. Depay,"CF, LW, CAM",85,86,220000,27,2023,Netherlands,Right,3,5,133900000,82,83,82,84,30,79,84,83,65,81,74,86,85,83,76,85,81,83,80,83,81,87,69,79,83,83,72,28,85,85,76,80,23,31,20,8,14,6,12,10,0,63000000
Carvajal,RB,85,85,210000,29,2025,Spain,Right,3,3,97400000,80,54,78,80,81,80,82,51,72,83,49,78,76,47,74,83,79,80,79,83,81,68,77,89,74,47,84,81,75,74,45,81,82,82,84,13,13,15,9,15,0,47500000
Jorginho,"CM, CDM",85,85,170000,29,2023,Italy,Right,3,3,97100000,55,67,86,81,73,73,75,64,56,92,71,79,75,76,89,87,61,50,77,82,72,71,58,87,66,62,79,81,69,88,91,81,67,81,71,14,7,13,14,8,0,52500000
S. Gnabry,"RM, LM, RW",85,86,110000,25,2023,Germany,Right,4,4,111300000,83,84,79,86,43,69,74,86,42,82,83,88,74,62,78,83,90,77,87,86,88,87,65,78,68,82,63,38,86,83,68,80,45,44,43,14,10,10,9,7,0,64500000
S. Milinković-Savić,"CM, CDM, CAM",85,87,100000,26,2024,Serbia,Right,5,4,117200000,68,79,80,81,79,86,64,80,86,85,74,84,80,78,85,86,66,70,62,83,63,83,85,91,87,80,79,78,79,82,56,84,78,79,74,7,10,7,16,7,0,66000000
W. Ndidi,"CDM, CM",85,88,120000,24,2024,Nigeria,Right,4,3,131300000,67,62,69,74,87,83,53,50,72,78,68,72,60,60,75,77,65,68,69,88,66,80,90,90,78,70,87,90,67,67,57,80,87,90,85,13,14,7,7,13,0,66500000
Oyarzabal,"LW, RW",85,89,57000,24,2024,Spain,Left,3,3,168600000,82,82,81,84,41,63,82,84,60,83,74,85,77,71,73,85,83,81,83,81,80,80,72,82,57,81,52,29,85,85,84,83,55,32,30,10,6,10,13,11,0,77500000
L. Martínez,ST,85,89,145000,23,2023,Argentina,Right,4,4,138500000,84,81,72,85,48,84,56,85,87,78,88,83,78,43,73,85,86,83,86,89,89,80,88,80,84,74,86,45,86,81,74,83,55,31,44,11,8,8,8,13,0,78000000
M. Rashford,"LM, ST",85,89,150000,23,2023,England,Right,3,5,149200000,90,84,79,84,43,77,80,83,68,80,73,86,83,76,71,84,86,93,84,84,75,92,74,86,75,81,73,42,83,81,84,80,45,38,33,11,6,15,7,14,0,77500000
A. Hakimi,"RB, RWB",85,88,100000,22,2026,Morocco,Right,4,3,133800000,95,71,78,83,76,78,86,73,68,81,60,84,68,55,73,83,95,95,86,84,79,77,80,91,73,70,75,78,78,75,46,80,75,78,76,10,8,14,6,8,0,69500000
M. de Ligt,CB,85,90,81000,21,2024,Netherlands,Right,3,2,129400000,73,59,60,69,84,87,52,50,85,75,45,65,48,55,63,73,71,75,60,84,62,82,93,75,93,66,83,81,44,45,40,82,84,85,85,12,11,11,12,10,0,75000000
Z. Ibrahimović,ST,84,84,51000,39,2022,Sweden,Right,4,5,24700000,65,87,78,79,34,77,72,86,83,80,88,78,80,75,73,86,64,66,71,83,53,88,79,52,87,88,84,20,89,84,83,90,28,37,24,13,15,10,9,12,0,14500000
Jesús Navas,"RB, RM",84,84,30000,35,2024,Spain,Right,2,4,27300000,87,69,81,83,79,58,85,65,73,83,75,84,82,46,79,83,90,84,82,84,84,74,63,82,39,70,75,80,81,83,56,82,82,77,79,10,10,15,7,13,0,13000000
Piqué,CB,84,84,175000,34,2024,Spain,Right,3,2,27700000,58,61,71,68,85,78,57,65,84,80,57,63,58,43,80,80,50,64,57,85,35,62,74,63,86,51,79,85,64,72,69,87,86,85,83,10,11,14,15,8,0,13500000
D. Mertens,"CF, ST, CAM",84,84,105000,34,2022,Belgium,Right,4,4,34900000,85,82,80,88,34,50,73,84,40,84,70,88,82,82,72,88,90,80,93,80,92,80,58,66,37,81,59,36,82,84,79,81,23,40,40,7,10,8,10,4,0,20500000
G. Wijnaldum,"CM, CDM",84,84,115000,30,2024,Netherlands,Right,4,4,74900000,77,75,80,86,79,79,72,75,78,87,73,85,78,73,81,88,78,76,84,86,88,78,81,93,74,73,75,80,79,79,74,86,79,80,70,16,6,14,12,6,0,40500000
J. Henderson,"CDM, CM",84,84,140000,31,2025,England,Right,3,3,54600000,66,74,83,79,78,81,82,73,65,85,71,78,80,74,87,83,67,66,69,85,68,77,78,86,78,75,83,81,78,80,64,82,79,81,76,7,13,7,9,13,0,29500000
Fernando,"CDM, CM",84,84,43000,33,2022,Brazil,Right,3,3,44100000,66,62,75,74,83,82,62,54,74,84,56,71,65,53,79,78,65,67,70,83,62,76,76,82,81,68,85,85,59,76,54,78,84,85,83,7,5,9,3,5,0,21000000
